165;naval_base;1000.00;9.60;92.00;0.00;38
165;floating_harbor;1009.00;9.50;111.00;0.00;0
165;naval_base;1002.00;9.60;92.00;0.00;38
40;floating_harbor;1092.00;9.50;129.00;0.00;0
28;naval_base;1134.00;9.60;92.00;0.00;14
28;floating_harbor;1138.00;9.50;107.00;0.00;0
108;naval_base;2110.00;9.60;92.00;0.00;34
108;floating_harbor;2104.00;9.50;113.00;0.00;0
165;naval_base;1024.00;9.60;94.00;0.00;38
28;naval_base;1109.00;9.60;94.00;0.00;13
28;naval_base;1151.00;9.60;94.00;0.00;14
139;naval_base;1171.00;9.60;99.00;0.00;14
139;floating_harbor;1170.00;9.50;125.00;0.00;0
108;naval_base;2102.00;9.60;100.00;0.00;34
165;naval_base;979.00;9.60;101.00;0.00;38
139;naval_base;1151.00;9.60;123.50;3.14;103
220;naval_base;944.00;9.60;106.00;0.00;49
220;floating_harbor;932.00;9.50;127.00;0.00;0
220;naval_base;963.00;9.60;106.00;0.00;49
165;naval_base;1036.00;9.60;106.00;0.00;38
108;naval_base;2128.00;9.60;107.50;1.57;34
28;naval_base;1125.00;9.60;123.50;3.14;103
28;naval_base;1141.00;9.60;123.50;3.14;103
220;naval_base;934.00;9.60;110.00;0.00;49
108;naval_base;2083.00;9.60;114.00;0.00;79
220;naval_base;917.00;9.60;115.00;0.00;49
205;naval_base;1205.00;9.60;117.00;0.00;45
205;floating_harbor;1225.00;9.50;135.00;0.00;0
139;naval_base;1202.00;9.60;118.00;0.00;45
236;naval_base;888.00;9.60;119.00;0.00;42
236;floating_harbor;866.00;9.50;147.00;0.00;0
220;naval_base;895.00;9.60;119.00;0.00;42
182;naval_base;2074.00;9.60;119.00;0.00;79
182;floating_harbor;2060.00;9.50;141.00;0.00;0
165;naval_base;1048.00;9.60;120.00;0.00;38
40;naval_base;1049.00;9.60;120.00;0.00;38
209;naval_base;2131.00;9.60;120.50;1.57;34
209;floating_harbor;2138.00;9.50;149.00;0.00;0
236;naval_base;883.00;9.60;122.00;0.00;42
205;naval_base;1224.00;9.60;122.00;0.00;45
209;naval_base;2165.00;9.60;123.00;0.00;34
3;naval_base;2180.00;9.60;123.00;0.00;62
3;floating_harbor;2173.00;9.50;151.00;0.00;0
232;naval_base;2275.00;9.60;123.00;0.00;62
232;floating_harbor;2272.00;9.50;144.00;0.00;0
232;naval_base;2266.00;9.60;127.00;0.00;62
16;naval_base;650.00;9.60;129.00;0.00;74
16;floating_harbor;632.00;9.50;151.00;0.00;0
236;naval_base;859.00;9.60;129.00;0.00;64
209;naval_base;2152.00;9.60;129.00;0.00;34
3;naval_base;2196.00;9.60;129.00;0.00;62
16;naval_base;649.00;9.60;130.00;0.00;74
139;naval_base;1167.00;9.60;132.50;3.14;103
205;naval_base;1245.00;9.60;135.00;0.00;45
232;naval_base;2286.00;9.60;136.50;1.57;63
3;naval_base;2190.00;9.60;153.50;3.14;187
40;naval_base;1078.00;9.60;140.50;1.57;103
212;naval_base;1179.00;9.60;143.50;4.71;144
212;floating_harbor;1199.00;9.50;162.00;0.00;0
232;naval_base;2255.00;9.60;143.50;4.71;62
40;naval_base;1085.00;9.60;145.00;0.00;103
95;naval_base;2075.00;9.60;155.50;3.14;79
95;floating_harbor;2103.00;9.50;173.00;0.00;0
225;naval_base;662.00;9.60;147.50;3.14;74
225;floating_harbor;632.00;9.50;168.00;0.00;0
236;naval_base;843.00;9.60;148.00;0.00;64
